id,numeroRNT,vencimientoRNT,registroSuperTur,categoria,direccion,horaApertura,horaCierre,tiempoMinimo,gananciaAnioActual,gananciaAnioCorrido
-vdearebm,9355454805,2023-05-26,337-65-8034,APARTAMENTO,74 Drewry Court,0:19,15:39,28,204,64389
-cziebarte7,1932100059,2019-11-17,329-57-4832,HOSTAL,7547 Bellgrove Park,22:52,19:09,13,91696,19698
-cirnisay,9758655787,2024-11-15,762-53-4688,APARTAMENTO,09 Merrick Drive,17:50,18:24,19,13664,52800
-lbortoli33,0628848293,2024-05-19,544-27-7155,VECINOS,84 Fisk Park,7:13,21:02,30,76085,68915
-dtownsongc,8317418057,2023-06-05,395-68-8687,HOSTAL,96 Dottie Parkway,22:35,18:59,30,80286,70695
-nmcphillimeyiq,7991050998,2022-01-10,852-79-3838,VECINOS,5249 Thompson Crossing,12:14,21:37,24,69033,60659
-elillymano2,9326942422,2022-11-17,676-18-8192,VECINOS,53 Swallow Hill,18:10,21:39,25,75682,18383
-hgoalley5l,2207085406,2022-07-27,597-54-2567,APARTAMENTO,07245 Truax Court,18:30,4:43,6,17998,50618
-cshoorbrooke42,7131338052,2021-06-06,441-05-7568,P_NATURAL,98 Arapahoe Street,3:15,21:24,18,62214,4658
-ahardacrec2,5970734969,2021-04-07,635-34-6352,P_NATURAL,35704 Jenifer Way,12:38,18:34,5,81935,38870
-wfarman29,8108388821,2023-07-20,551-18-4991,APARTAMENTO,71023 Spohn Plaza,2:55,14:22,19,24697,24178
-elillymano2,2078130710,2025-02-27,403-95-7066,VIVIENDA_U,48258 Sage Place,15:07,12:51,16,13249,22906
-cgaskamp8j,4660053687,2021-06-14,876-55-3196,APARTAMENTO,9 Banding Parkway,16:26,12:52,4,14889,92992
-ainnotfo,4387043474,2024-09-19,438-02-1709,VECINOS,6 Melrose Junction,14:55,18:55,24,15372,22396
-rbarcap7,7066370449,2021-03-26,267-67-1537,P_NATURAL,8290 Trailsway Center,3:29,13:32,8,6476,89000
-cdumbarel2,4066683452,2025-05-10,485-53-4163,HOTEL,637 Clarendon Street,15:05,12:34,1,17055,13556
