id,tipoID,login,relacionU
5322153624,CEDULA,-treams0,TRABAJADOR
5625279292,PASAPORTE,-mmerrien1,TRABAJADOR
4663290116,CEDULA,-tmartinolli2,TRABAJADOR
2935882989,PASAPORTE,-imowsley3,TRABAJADOR
9724988198,CARNET_U,-flinneman4,TRABAJADOR
2067212613,CARNET_U,-cmycock5,ESTUDIANTE
0406948275,CARNET_U,-mofearguise6,ESTUDIANTE
1016745699,CARNET_U,-bgromley7,TRABAJADOR
3338012713,PASAPORTE,-bbutfield8,TRABAJADOR
2976258112,PASAPORTE,-clightowlers9,ESTUDIANTE
4458290983,CEDULA,-laccombea,TRABAJADOR
0285333240,PASAPORTE,-msertinb,ESTUDIANTE
1315895420,CEDULA,-adivinec,ESTUDIANTE
7644336338,CARNET_U,-oeminsond,PROFESOR
3810540013,CEDULA,-sgoodreide,TRABAJADOR
3724314477,CEDULA,-apinchenf,TRABAJADOR
9779710108,CARNET_U,-ecoulthardg,ESTUDIANTE
6441766965,CARNET_U,-dblazevich,TRABAJADOR
5712455757,PASAPORTE,-tpuckinghornei,PROFESOR
4672286282,CARNET_U,-cheijnej,ESTUDIANTE
6993056208,CEDULA,-aewensk,ESTUDIANTE
4885584175,CEDULA,-rpallel,PROFESOR
4455746889,PASAPORTE,-rcobainm,ESTUDIANTE
1641510463,CARNET_U,-cbonniern,ESTUDIANTE
2167760353,CEDULA,-rphalipo,TRABAJADOR
5632684199,CEDULA,-gfronczakp,ESTUDIANTE
5392695965,CEDULA,-smatzelq,TRABAJADOR
5998943570,PASAPORTE,-woxxr,TRABAJADOR
9712849708,CEDULA,-dmogras,TRABAJADOR
4344191021,CEDULA,-cbolinot,PROFESOR
0176391509,CARNET_U,-khayseyu,ESTUDIANTE
0229619916,CARNET_U,-cconisbeev,ESTUDIANTE
6669085516,CEDULA,-jkimblingw,TRABAJADOR
2378603533,CARNET_U,-yverdyx,PROFESOR
1171011997,CEDULA,-evealy,TRABAJADOR
1177178680,CARNET_U,-ppizzeyz,ESTUDIANTE
0810658755,PASAPORTE,-rmacallaster10,PROFESOR
8601306454,CARNET_U,-mgiovannoni11,ESTUDIANTE
5173870001,PASAPORTE,-ncholton12,ESTUDIANTE
8033182938,CARNET_U,-msterndale13,TRABAJADOR
5723541072,PASAPORTE,-cklyner14,ESTUDIANTE
2340281695,PASAPORTE,-acricket15,ESTUDIANTE
5240132690,CARNET_U,-othrossell16,PROFESOR
5431710672,PASAPORTE,-hgellately17,ESTUDIANTE
8954417418,CEDULA,-lsillwood18,ESTUDIANTE
8545103794,CEDULA,-vbernuzzi19,PROFESOR
8239538290,PASAPORTE,-mlebrum1a,PROFESOR
1384163476,PASAPORTE,-aadvani1b,TRABAJADOR
2874543640,CARNET_U,-cfronek1c,TRABAJADOR
4425486366,CARNET_U,-gdog1d,TRABAJADOR
3513745281,CARNET_U,-kcheer1e,PROFESOR
9323559180,CEDULA,-gwands1f,TRABAJADOR
9405190261,CARNET_U,-jduffil1g,ESTUDIANTE
1685304532,CARNET_U,-rfruish1h,PROFESOR
9987087841,PASAPORTE,-bhowler1i,TRABAJADOR
4417348936,CEDULA,-dsempill1j,ESTUDIANTE
8284315173,PASAPORTE,-mgosnall1k,TRABAJADOR
2261230109,PASAPORTE,-ccollingridge1l,PROFESOR
6122158798,PASAPORTE,-epate1m,TRABAJADOR
8112325243,CARNET_U,-easmus1n,TRABAJADOR
9909910012,PASAPORTE,-lgambrell1o,ESTUDIANTE
6210490859,PASAPORTE,-apedrocco1p,TRABAJADOR
3476876136,PASAPORTE,-kdowles1q,TRABAJADOR
9406541963,CEDULA,-jgally1r,TRABAJADOR
9570537868,PASAPORTE,-agoldsmith1s,ESTUDIANTE
7842281343,CEDULA,-nhesey1t,PROFESOR
5340059847,PASAPORTE,-bsimcock1u,PROFESOR
0011978767,PASAPORTE,-tbrodest1v,TRABAJADOR
7436550314,CEDULA,-jgubbin1w,PROFESOR
0482179759,CEDULA,-dpavelin1x,TRABAJADOR
1887208763,CARNET_U,-kdoyly1y,ESTUDIANTE
1500433209,CARNET_U,-dalbinson1z,TRABAJADOR
1281004413,PASAPORTE,-dmcalinden20,PROFESOR
2178639925,CARNET_U,-nwestraw21,TRABAJADOR
0819974420,CARNET_U,-bmusicka22,TRABAJADOR
1083827820,PASAPORTE,-clydden23,TRABAJADOR
7470653546,CEDULA,-kbarrington24,TRABAJADOR
5389492838,CARNET_U,-ffarfolomeev25,PROFESOR
1099702658,PASAPORTE,-mgudd26,TRABAJADOR
8281347783,CARNET_U,-ctaylder27,ESTUDIANTE
8203206476,CEDULA,-sreeders28,PROFESOR
1394910592,PASAPORTE,-wfarman29,ESTUDIANTE
5135268251,CEDULA,-bcrookall2a,PROFESOR
2869731132,CEDULA,-bheavyside2b,TRABAJADOR
8082998733,PASAPORTE,-deliesco2c,TRABAJADOR
4312807787,CARNET_U,-lramsdale2d,TRABAJADOR
1991007116,PASAPORTE,-epollastrino2e,TRABAJADOR
6291852799,CARNET_U,-ogoshawk2f,TRABAJADOR
4093090181,CEDULA,-iewings2g,ESTUDIANTE
0245831568,PASAPORTE,-cfaill2h,PROFESOR
5233692031,PASAPORTE,-wdukes2i,PROFESOR
